layer,pedalSype,jumpSpeed,_gravity,minYInterval,maxYInterval,skill
层数,跳板id,跳跃速度,重力加速度 ,Y轴间隔最小值,Y轴间隔最大值,技能（道具效果）
1,2,0.5,-5000,10,30,[PedalSkill.NONE]
30,2,0.6,-5000,30,60,[PedalSkill.NONE]
80,2,0.6,-5000,50,100,[PedalSkill.NONE]
119,2,0.6,-5000,80,150,[PedalSkill.NONE]
120,3,0.6,-5000,200,300,[PedalSkill.NONE]
121,3,0.6,-5000,200,300,[PedalSkill.NONE]
122,3,0.6,-5000,200,300,[PedalSkill.NONE]
123,2,0.6,-5000,80,150,[PedalSkill.NONE]
150,2,0.6,-5000,100,300,[PedalSkill.NONE]
151,3,0.6,-5000,200,400,[PedalSkill.NONE]
152,2,0.6,-5000,100,200,[PedalSkill.NONE]
195,2,0.6,-5000,100,200,[PedalSkill.NONE]
200,3,0.6,-5000,200,300,[PedalSkill.NONE]
300,2,0.6,-5000,100,300,[PedalSkill.NONE]
